                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.306,                  4.408,                 4.2983,                0.00112,                0.07973,                0.00078,                 0.0003,                 4.6589,                 4.3132,                 4.1591,                  5e-05,                  5e-05,                  5e-05
                      2,                 4.2212,                 4.3739,                  4.272,                0.00117,                0.08258,                0.00091,                0.00034,                 4.6566,                 4.3127,                 4.1582,             0.00011236,             0.00011236,             0.00011236
                      3,                 4.0957,                 4.2807,                  4.258,                  0.001,                0.06837,                0.00092,                0.00037,                 4.6507,                 4.3102,                 4.1552,             0.00017457,             0.00017457,             0.00017457
                      4,                 4.1925,                  4.243,                 4.1673,                0.00116,                0.07973,                0.00125,                0.00044,                 4.6446,                 4.3027,                 4.1508,             0.00023662,             0.00023662,             0.00023662
                      5,                 4.1793,                 4.1492,                 4.1467,                0.00111,                0.07595,                0.00506,                0.00089,                 4.6287,                  4.287,                   4.14,             0.00029851,             0.00029851,             0.00029851
                      6,                 3.8975,                  4.046,                 4.0906,                0.00114,                0.07879,                0.00227,                0.00072,                 4.6126,                 4.2743,                 4.1287,             0.00036026,             0.00036026,             0.00036026
                      7,                 3.7609,                 3.8918,                 4.0235,                0.00107,                  0.075,                0.00149,                 0.0005,                  4.575,                  4.249,                 4.1032,             0.00042184,             0.00042184,             0.00042184
                      8,                 3.7241,                 3.7334,                 3.9779,                0.00123,                0.08636,                0.00163,                0.00055,                 4.5512,                 4.2321,                 4.0875,             0.00048328,             0.00048328,             0.00048328
                      9,                 3.6176,                 3.6638,                 3.9485,                0.00121,                0.08636,                0.00299,                0.00097,                 4.5416,                 4.2215,                 4.0807,             0.00054456,             0.00054456,             0.00054456
                     10,                 3.5614,                 3.5854,                 3.8443,                0.00115,                0.08258,                0.00165,                0.00064,                 4.6213,                 4.2496,                 4.1331,             0.00060568,             0.00060568,             0.00060568
                     11,                 3.4187,                 3.2719,                 3.7745,                0.00109,                0.07879,                0.00091,                0.00035,                  4.775,                 4.3173,                 4.2543,             0.00066665,             0.00066665,             0.00066665
                     12,                 3.2489,                 3.1737,                 3.6829,                0.00104,                  0.075,                0.00104,                0.00038,                 4.8739,                 4.3712,                 4.3457,             0.00072746,             0.00072746,             0.00072746
                     13,                 3.2225,                 3.1104,                 3.6634,                0.00104,                  0.075,                0.00106,                0.00039,                 4.8473,                 4.3776,                 4.3275,             0.00078812,             0.00078812,             0.00078812
                     14,                 3.0692,                 3.1585,                 3.6134,                0.00103,                  0.075,                0.00541,                0.00259,                 4.7444,                 4.3543,                 4.2402,             0.00084862,             0.00084862,             0.00084862
                     15,                 2.9716,                 2.9388,                 3.4823,                0.00108,                0.06837,                  0.001,                0.00038,                 4.8761,                 4.4449,                 4.3576,             0.00090897,             0.00090897,             0.00090897
                     16,                 2.9153,                 2.9289,                 3.4631,                0.00117,                0.06837,                0.00098,                0.00039,                 4.8362,                 4.4307,                  4.328,             0.00096917,             0.00096917,             0.00096917
                     17,                 2.9947,                 2.9124,                 3.3967,                0.00201,                0.12898,                0.00816,                0.00371,                 4.3308,                 4.1815,                 3.9963,              0.0010292,              0.0010292,              0.0010292
                     18,                 2.9447,                 2.8307,                 3.3813,                0.00589,                0.49792,                0.03085,                0.01316,                 3.0309,                 3.7461,                 3.4171,              0.0010891,              0.0010891,              0.0010891
                     19,                 2.9404,                 2.8903,                 3.3145,                0.00898,                0.75833,                0.06687,                0.02565,                 2.5989,                 3.4916,                 3.1381,              0.0011488,              0.0011488,              0.0011488
                     20,                 2.8474,                 2.7334,                 3.2507,                0.57631,                0.04659,                0.08097,                0.03054,                 2.4457,                 3.2876,                  2.984,              0.0012084,              0.0012084,              0.0012084
                     21,                 2.9105,                 2.7726,                 3.2886,                0.16765,                0.26553,                0.09076,                0.03128,                 2.3525,                 3.2917,                 2.9346,              0.0012191,              0.0012191,              0.0012191
                     22,                 2.9612,                  2.716,                 3.2495,                0.51775,                0.19716,                0.05889,                0.02091,                 2.3448,                 3.5821,                 3.1043,              0.0012191,              0.0012191,              0.0012191
                     23,                  2.969,                 2.7282,                 3.2451,                0.22466,                 0.1428,                0.08523,                0.02872,                 2.3662,                 3.7973,                 3.2307,              0.0012175,              0.0012175,              0.0012175
                     24,                  2.815,                 2.8519,                 3.2446,                0.40002,                0.06605,                0.05733,                0.01667,                 2.4764,                 4.0777,                 3.0653,               0.001216,               0.001216,               0.001216
                     25,                 2.8565,                 2.7501,                 3.2041,                0.18736,                0.12708,                0.05747,                0.01745,                  2.535,                 14.014,                 3.1307,              0.0012144,              0.0012144,              0.0012144
                     26,                 2.8437,                 2.6501,                 3.1547,                 0.1882,                0.16426,                0.10643,                0.03152,                 2.5893,                 7.6465,                 3.1242,              0.0012129,              0.0012129,              0.0012129
                     27,                 2.8329,                 2.5837,                 3.1561,                0.18201,                0.13628,                0.10233,                0.03306,                 2.7011,                 4.0374,                 3.1374,              0.0012113,              0.0012113,              0.0012113
                     28,                 2.8649,                 2.6191,                 3.1338,                0.11706,                 0.1483,                 0.0368,                0.01251,                 2.9093,                 7.0667,                 4.7123,              0.0012098,              0.0012098,              0.0012098
                     29,                 2.6981,                 2.5961,                 3.0954,                0.12063,                0.07879,                0.04565,                0.01326,                 3.0703,                 8.0557,                  5.447,              0.0012082,              0.0012082,              0.0012082
                     30,                 2.7875,                 2.4707,                 3.0951,                 0.2042,                0.15341,                0.05904,                0.02546,                 2.8556,                 6.0023,                  4.722,              0.0012067,              0.0012067,              0.0012067
                     31,                 2.6834,                 2.6788,                 3.0847,                0.18314,                0.19545,                0.13225,                 0.0514,                 2.7715,                 7.1597,                 4.3982,              0.0012051,              0.0012051,              0.0012051
                     32,                 2.6805,                 2.5015,                 3.0612,                0.39205,                0.25951,                0.17622,                0.06201,                 2.6756,                 11.107,                 4.7311,              0.0012036,              0.0012036,              0.0012036
                     33,                 2.6036,                 2.5269,                  2.999,                0.26969,                0.18996,                0.13358,                0.04879,                 2.5643,                 5.9031,                 4.0737,               0.001202,               0.001202,               0.001202
                     34,                 2.6881,                  2.536,                 3.0497,                0.19315,                0.31827,                0.14671,                0.05504,                 2.5524,                 4.5289,                 3.5411,              0.0012005,              0.0012005,              0.0012005
                     35,                 2.5053,                 2.3567,                 2.9603,                0.29026,                0.23182,                0.22082,                0.08511,                 2.5708,                 3.4466,                 3.0603,               0.001199,               0.001199,               0.001199
                     36,                 2.5486,                 2.4364,                 3.0148,                0.31298,                0.27595,                0.25395,                0.10389,                 2.5505,                 3.4971,                 2.9248,              0.0011974,              0.0011974,              0.0011974
                     37,                 2.3768,                 2.3176,                 2.8459,                 0.3218,                0.37765,                0.29037,                0.13271,                 2.2731,                 4.3089,                 2.8143,              0.0011959,              0.0011959,              0.0011959
                     38,                 2.6344,                 2.4713,                  3.029,                0.37294,                0.32102,                0.29723,                0.13095,                 2.2226,                  4.279,                 2.8016,              0.0011943,              0.0011943,              0.0011943
                     39,                 2.4886,                 2.2687,                 2.8736,                0.41093,                0.34867,                0.32799,                0.12852,                 2.2138,                 5.1002,                 2.8476,              0.0011928,              0.0011928,              0.0011928
                     40,                  2.456,                 2.2917,                 2.8987,                0.31177,                0.49981,                0.34513,                0.13304,                 2.2235,                 4.3637,                 2.8713,              0.0011912,              0.0011912,              0.0011912
                     41,                 2.5329,                 2.3622,                 2.9568,                0.47625,                0.36098,                0.43619,                0.20681,                 2.1875,                 3.0968,                 2.7787,              0.0011897,              0.0011897,              0.0011897
                     42,                 2.4361,                 2.2807,                 2.8602,                0.48829,                0.39362,                0.44419,                0.21922,                 2.2072,                 3.1877,                 2.7673,              0.0011881,              0.0011881,              0.0011881
                     43,                    2.5,                 2.3037,                 2.8966,                0.38522,                0.44886,                0.42468,                0.21392,                 2.2269,                 3.2987,                 2.7956,              0.0011866,              0.0011866,              0.0011866
                     44,                  2.401,                 2.2626,                 2.8104,                0.38562,                0.54602,                0.47837,                 0.2319,                  2.075,                  2.907,                 2.6855,               0.001185,               0.001185,               0.001185
                     45,                 2.3468,                 2.2646,                 2.8103,                0.43916,                0.61918,                0.54361,                0.26543,                 2.0265,                 2.5989,                 2.6133,              0.0011835,              0.0011835,              0.0011835
                     46,                 2.3686,                 2.2476,                 2.8224,                0.44575,                0.62137,                0.48857,                0.22302,                 2.0442,                 2.8909,                  2.636,              0.0011819,              0.0011819,              0.0011819
                     47,                 2.3597,                 2.2554,                 2.8125,                0.46483,                0.48448,                0.45412,                0.18508,                 2.1316,                 3.3934,                  2.734,              0.0011804,              0.0011804,              0.0011804
                     48,                 2.2993,                 2.2623,                 2.7628,                0.43115,                 0.5267,                0.45965,                0.22187,                 2.0787,                 2.5546,                  2.683,              0.0011788,              0.0011788,              0.0011788
                     49,                 2.4598,                 2.3126,                    2.8,                0.35959,                0.59564,                0.41379,                0.20605,                  2.075,                 2.9682,                 2.6589,              0.0011773,              0.0011773,              0.0011773
                     50,                 2.2405,                 2.2395,                 2.6957,                0.34668,                0.53981,                0.38897,                0.18585,                 2.1168,                 3.2966,                 2.6807,              0.0011757,              0.0011757,              0.0011757
                     51,                 2.1856,                  2.204,                 2.6843,                0.51343,                0.45246,                0.51913,                0.25436,                 2.0584,                 2.8883,                 2.6468,              0.0011742,              0.0011742,              0.0011742
                     52,                   2.24,                 2.2262,                 2.6541,                0.57453,                0.59486,                0.61118,                0.30505,                 2.0769,                 2.1887,                  2.616,              0.0011727,              0.0011727,              0.0011727
                     53,                 2.3733,                 2.1326,                 2.7224,                0.56409,                0.59354,                0.60638,                0.29368,                 2.0836,                 2.0579,                 2.6075,              0.0011711,              0.0011711,              0.0011711
                     54,                 2.2268,                  2.053,                  2.667,                0.44487,                 0.6168,                0.52465,                0.25613,                 2.0315,                 2.0864,                 2.5769,              0.0011696,              0.0011696,              0.0011696
                     55,                 2.1832,                  2.095,                 2.5973,                0.38697,                0.44792,                0.41916,                0.20466,                 1.9455,                 2.2719,                 2.5187,               0.001168,               0.001168,               0.001168
                     56,                  2.096,                 2.0726,                 2.6195,                0.36014,                 0.4286,                0.33974,                0.15119,                 2.0159,                 2.4566,                  2.529,              0.0011665,              0.0011665,              0.0011665
                     57,                 2.3304,                 2.2315,                 2.7326,                0.53293,                0.52652,                0.53239,                0.27982,                 1.8133,                 2.3028,                 2.3926,              0.0011649,              0.0011649,              0.0011649
                     58,                 2.3146,                 2.0415,                 2.6856,                0.50541,                  0.611,                0.61069,                0.33237,                 1.7892,                 3.0021,                 2.4154,              0.0011634,              0.0011634,              0.0011634
